year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2023,medicine,2,Katalin Kariko,female,1955,Hungary,Szolnok,68,Szeged University,Hungary,Szeged,,
2023,economics,1,Claudia Goldin,female,1946,USA,New York NY,77,Harvard University,USA,Cambridge MA,,
2023,peace,1,Narges Mohammadi,female,1972,Iran,Zanjan,51,,,,,
2023,literature,1,Jon Fosse,male,1959,Norway,Haugesund,64,,,,,
2023,chemistry,3,Alexei Ekimov,male,1945,Russia,,78,Nanocrystals Technology Inc.,USA,New York NY,,
2023,chemistry,3,Louis Brus,male,1943,USA,Cleveland OH,80,Columbia University,USA,New York NY,,
2023,chemistry,3,Moungi Bawendi,male,1961,France,Paris,62,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,,
2023,physics,3,Anne L Huillier,female,1958,France,Paris,65,Lund University,Sweden,Lund,,
2023,physics,3,Ferenc Krausz,male,1962,Hungary,Mor,61,Max Planck Institute of Quantum Optics,Germany,Garching,,
2023,physics,3,Pierre Agostini,male,1941,Tunisia,Tunis,82,The Ohio State University,USA,Columbus OH,,
2023,medicine,2,Drew Weissman,male,1959,USA,Lexington MA,64,Penn Institute for RNA Innovations University of Pennsylvania,USA,Philadelphia PA,,
2022,physics,3,Alain Aspect,male,1947,France,Agen,75,Institut d'Optique Graduate School - Universite Paris-Saclay,France,Paris,,
2022,medicine,1,Svante Paebo,male,1955,Sweden,Stockholm,67,Max Planck Institute for Evolutionary Anthropology,Germany,Leipzig,,
2022,economics,3,Philip Dybvig,male,1955,USA,Gainesville FL,67,Washington University,USA,St. Louis MO,,
2022,economics,3,Douglas Diamond,male,1953,USA,Chicago IL,69,University of Chicago,USA,Chicago IL,,
2022,economics,3,Ben Bernanke,male,1953,USA,Augusta GA,69,The Brookings Institution,USA,Washington D.C.,,
2022,peace,3,Center for Civil Liberties ,organisation,2007,,,15,,,,,
2022,peace,3,Ales Bialiatski,male,1962,Russia,Vyartsilya Karelia,60,,,,,
2022,literature,1,Annie Ernaux,female,1940,France,Lillebonne,82,,,,,
2022,chemistry,3,Morten Meldal,male,1954,Denmark,Copenhagen,68,University of Copenhagen,Denmark,Copenhagen,,
2022,chemistry,3,Carolyn Bertozzi,female,1966,USA,Boston MA,56,Stanford University,USA,Stanford CA,,
2022,physics,3,Anton Zeilinger,male,1945,Austria,Ried im Innkreis,77,University of Vienna,Austria,Vienna,,
2022,physics,3,John Clauser,male,1942,USA,Pasadena CA,80,J.F. Clauser & Assoc.,USA,Walnut Creek CA,,
2022,chemistry,3,Barry Sharpless,male,1941,USA,Philadelphia PA,81,Scripps Research,USA,La Jolla CA,,
2021,chemistry,2,Benjamin List,male,1968,Germany,Frankfurt-on-the-Main,53,Max Planck Institute for Coal Research,Germany,Mulheim an der Ruhr,,
2021,economics,4,Guido Imbens,male,1963,the Netherlands,Geldrop,58,Stanford University,USA,Stanford CA,,
